docname,topic,proportion
comments.json:929,007,1.0
comments.json:964,007,1.0
comments.json:999,004,1.0
comments.json:1034,007,1.0
comments.json:1069,000,1.0
comments.json:1104,001,1.0
comments.json:1139,003,1.0
comments.json:1174,007,1.0
comments.json:1209,008,1.0
comments.json:26,000,0.803991
comments.json:26,002,0.196009
comments.json:61,007,1.0
comments.json:96,007,1.0
comments.json:131,000,1.0
comments.json:166,002,1.0
comments.json:201,003,1.0
comments.json:236,001,1.0
comments.json:271,007,1.0
comments.json:306,000,0.646093
comments.json:306,007,0.353907
comments.json:341,008,1.0
comments.json:376,006,1.0
comments.json:411,000,1.0
comments.json:446,003,1.0
comments.json:481,008,1.0
comments.json:516,000,1.0
comments.json:551,000,1.0
comments.json:566,007,1.0
comments.json:601,000,1.0
comments.json:636,000,1.0
comments.json:671,008,1.0
comments.json:706,000,1.0
comments.json:741,007,1.0
comments.json:776,008,1.0
comments.json:811,007,1.0
comments.json:846,008,1.0
comments.json:881,007,1.0
comments.json:916,008,1.0
comments.json:951,007,1.0
